Timestamp,Container,CPU_Perc
1776374153.323343,thesis_project-api_gateway-1,"0,31"
1776374155.3282518,thesis_project-user_service-1,"1,86"
1776374157.3455849,thesis_project-auth_service-1,"0,24"
1776374159.3573172,thesis_project-data_service-1,"1,95"
1776374161.386152,thesis_project-api_gateway-1,"1,97"
1776374163.397386,thesis_project-user_service-1,"1,07"
1776374165.4113548,thesis_project-auth_service-1,"0,24"
1776374167.4291651,thesis_project-data_service-1,"2,57"
1776374170.460222,thesis_project-api_gateway-1,"3,05"
1776374172.471452,thesis_project-user_service-1,"2,20"
1776374174.483389,thesis_project-auth_service-1,"0,25"
1776374176.505999,thesis_project-data_service-1,"4,39"
1776374178.526739,thesis_project-api_gateway-1,"4,58"
1776374180.553631,thesis_project-user_service-1,"2,69"
1776374182.563471,thesis_project-auth_service-1,"0,22"
1776374184.5741398,thesis_project-data_service-1,"5,48"
1776374186.591427,thesis_project-api_gateway-1,"5,92"
1776374188.602336,thesis_project-user_service-1,"2,98"
1776374190.6289349,thesis_project-auth_service-1,"0,17"
1776374192.6391628,thesis_project-data_service-1,"5,91"
1776374194.660186,thesis_project-api_gateway-1,"6,00"
1776374196.6691542,thesis_project-user_service-1,"3,26"
1776374198.6770291,thesis_project-auth_service-1,"0,19"
1776374200.701982,thesis_project-data_service-1,"5,31"
1776374202.7243369,thesis_project-api_gateway-1,"5,81"
1776374204.7366002,thesis_project-user_service-1,"2,98"
1776374206.7469718,thesis_project-auth_service-1,"0,26"
1776374208.7643242,thesis_project-data_service-1,"5,05"
1776374210.783232,thesis_project-api_gateway-1,"5,82"
1776374212.798548,thesis_project-user_service-1,"3,00"
1776374214.805175,thesis_project-auth_service-1,"0,19"
1776374216.812176,thesis_project-data_service-1,"5,19"
1776374218.839,thesis_project-api_gateway-1,"5,49"
1776374220.855485,thesis_project-user_service-1,"2,90"
1776374222.8622642,thesis_project-auth_service-1,"0,27"
1776374224.873628,thesis_project-data_service-1,"5,65"
1776374226.8888829,thesis_project-api_gateway-1,"5,74"
1776374228.900667,thesis_project-user_service-1,"2,67"
1776374230.9220212,thesis_project-auth_service-1,"0,20"
1776374232.935015,thesis_project-data_service-1,"4,99"
1776374234.95927,thesis_project-api_gateway-1,"5,54"
1776374236.97424,thesis_project-user_service-1,"2,74"
1776374238.9871302,thesis_project-auth_service-1,"0,26"
1776374241.020503,thesis_project-data_service-1,"4,91"
1776374243.040873,thesis_project-api_gateway-1,"5,60"
1776374245.05013,thesis_project-user_service-1,"2,95"
1776374247.0574431,thesis_project-auth_service-1,"0,22"
1776374249.064589,thesis_project-data_service-1,"5,61"
1776374251.0873332,thesis_project-api_gateway-1,"5,39"
1776374253.097574,thesis_project-user_service-1,"2,85"
1776374255.105332,thesis_project-auth_service-1,"0,26"
1776374257.119461,thesis_project-data_service-1,"5,32"
1776374259.143926,thesis_project-api_gateway-1,"5,29"
1776374261.172616,thesis_project-user_service-1,"2,77"
1776374263.184798,thesis_project-auth_service-1,"0,22"
1776374265.19062,thesis_project-data_service-1,"5,12"
1776374267.214151,thesis_project-api_gateway-1,"5,14"
1776374269.221507,thesis_project-user_service-1,"2,49"
1776374271.240279,thesis_project-auth_service-1,"0,22"
1776374273.2515469,thesis_project-data_service-1,"5,01"
1776374275.2712672,thesis_project-api_gateway-1,"5,72"
1776374277.28093,thesis_project-user_service-1,"2,44"
1776374279.29508,thesis_project-auth_service-1,"0,23"
1776374281.30525,thesis_project-data_service-1,"4,96"
1776374283.317514,thesis_project-api_gateway-1,"5,05"
1776374285.332135,thesis_project-user_service-1,"2,48"
1776374287.3408,thesis_project-auth_service-1,"0,26"
1776374289.350789,thesis_project-data_service-1,"4,86"
1776374291.384049,thesis_project-api_gateway-1,"5,31"
1776374293.3985229,thesis_project-user_service-1,"2,40"
1776374295.409441,thesis_project-auth_service-1,"0,20"
1776374297.4179718,thesis_project-data_service-1,"5,17"
1776374299.4316459,thesis_project-api_gateway-1,"6,14"
1776374300.4461598,thesis_project-user_service-1,"2,37"
1776374301.460576,thesis_project-auth_service-1,"0,20"
1776374303.4715688,thesis_project-data_service-1,"5,00"
1776374305.4949849,thesis_project-api_gateway-1,"5,73"
1776374307.504576,thesis_project-user_service-1,"2,49"
1776374309.519029,thesis_project-auth_service-1,"0,21"
1776374311.5434759,thesis_project-data_service-1,"4,57"
1776374313.556155,thesis_project-api_gateway-1,"4,87"
1776374315.561057,thesis_project-user_service-1,"1,42"
1776374317.569401,thesis_project-auth_service-1,"0,28"
1776374319.5894551,thesis_project-data_service-1,"3,39"
1776374321.6112761,thesis_project-api_gateway-1,"3,17"
1776374323.619946,thesis_project-user_service-1,"1,54"
1776374325.629226,thesis_project-auth_service-1,"0,22"
1776374327.639725,thesis_project-data_service-1,"2,08"
1776374330.674626,thesis_project-api_gateway-1,"1,55"
1776374332.688107,thesis_project-user_service-1,"0,76"
1776374334.6966348,thesis_project-auth_service-1,"0,29"
1776374336.7145321,thesis_project-data_service-1,"0,33"
