Timestamp,Container,CPU_Perc
1776343702.004389,thesis_project-api_gateway-1,"0,30"
1776343704.0220642,thesis_project-user_service-1,"0,34"
1776343706.050003,thesis_project-data_service-1,"1,48"
1776343708.074624,thesis_project-auth_service-1,"0,18"
1776343710.111028,thesis_project-api_gateway-1,"5,36"
1776343712.1283112,thesis_project-user_service-1,"0,28"
1776343714.144044,thesis_project-data_service-1,"4,17"
1776343716.152805,thesis_project-auth_service-1,"0,29"
1776343718.1698198,thesis_project-api_gateway-1,"10,46"
1776343720.197036,thesis_project-user_service-1,"0,26"
1776343722.2112892,thesis_project-data_service-1,"7,26"
1776343724.2212071,thesis_project-auth_service-1,"0,20"
1776343726.238028,thesis_project-api_gateway-1,"18,19"
1776343728.25313,thesis_project-user_service-1,"0,20"
1776343730.2712362,thesis_project-data_service-1,"8,99"
1776343732.282669,thesis_project-auth_service-1,"0,19"
1776343734.304907,thesis_project-api_gateway-1,"18,63"
1776343736.316739,thesis_project-user_service-1,"0,16"
1776343738.341869,thesis_project-data_service-1,"9,68"
1776343740.349805,thesis_project-auth_service-1,"0,17"
1776343742.3875918,thesis_project-api_gateway-1,"20,87"
1776343744.403601,thesis_project-user_service-1,"0,15"
1776343746.417116,thesis_project-data_service-1,"9,37"
1776343748.4425511,thesis_project-auth_service-1,"0,14"
1776343750.4671,thesis_project-api_gateway-1,"20,32"
1776343752.4881191,thesis_project-user_service-1,"0,19"
1776343754.4973161,thesis_project-data_service-1,"9,94"
1776343756.510148,thesis_project-auth_service-1,"0,17"
1776343758.5335722,thesis_project-api_gateway-1,"18,66"
1776343760.5457668,thesis_project-user_service-1,"0,22"
1776343762.553372,thesis_project-data_service-1,"9,49"
1776343764.5647428,thesis_project-auth_service-1,"0,13"
1776343766.591433,thesis_project-api_gateway-1,"19,86"
1776343768.6137862,thesis_project-user_service-1,"0,17"
1776343770.633961,thesis_project-data_service-1,"9,37"
1776343772.646485,thesis_project-auth_service-1,"0,17"
1776343774.663668,thesis_project-api_gateway-1,"20,06"
1776343776.6749198,thesis_project-user_service-1,"0,17"
1776343778.6908998,thesis_project-data_service-1,"8,99"
1776343780.711197,thesis_project-auth_service-1,"0,20"
1776343782.729683,thesis_project-api_gateway-1,"19,41"
1776343784.738225,thesis_project-user_service-1,"0,19"
1776343786.7456372,thesis_project-data_service-1,"8,66"
1776343788.762093,thesis_project-auth_service-1,"0,17"
1776343790.779115,thesis_project-api_gateway-1,"18,37"
1776343792.7886322,thesis_project-user_service-1,"0,19"
1776343794.794954,thesis_project-data_service-1,"8,33"
1776343796.800817,thesis_project-auth_service-1,"0,17"
1776343799.8320699,thesis_project-api_gateway-1,"18,51"
1776343801.8415549,thesis_project-user_service-1,"0,15"
1776343803.855669,thesis_project-data_service-1,"7,75"
1776343805.8673122,thesis_project-auth_service-1,"0,16"
1776343807.889933,thesis_project-api_gateway-1,"17,04"
1776343809.925809,thesis_project-user_service-1,"0,17"
1776343811.942715,thesis_project-data_service-1,"8,46"
1776343813.954863,thesis_project-auth_service-1,"0,11"
1776343815.969855,thesis_project-api_gateway-1,"18,75"
1776343817.98341,thesis_project-user_service-1,"0,14"
1776343820.002343,thesis_project-data_service-1,"7,19"
1776343822.009717,thesis_project-auth_service-1,"0,17"
1776343824.018646,thesis_project-api_gateway-1,"16,27"
1776343826.024959,thesis_project-user_service-1,"0,15"
1776343828.039808,thesis_project-data_service-1,"7,74"
1776343830.063304,thesis_project-auth_service-1,"0,21"
1776343832.08815,thesis_project-api_gateway-1,"14,87"
1776343834.1003919,thesis_project-user_service-1,"0,18"
1776343836.1115022,thesis_project-data_service-1,"7,79"
1776343838.125767,thesis_project-auth_service-1,"0,16"
1776343840.151395,thesis_project-api_gateway-1,"15,70"
1776343842.1669881,thesis_project-user_service-1,"0,14"
1776343844.182658,thesis_project-data_service-1,"8,16"
1776343846.198616,thesis_project-auth_service-1,"0,10"
1776343848.222801,thesis_project-api_gateway-1,"16,22"
1776343850.25545,thesis_project-user_service-1,"0,13"
1776343852.2674,thesis_project-data_service-1,"7,37"
1776343854.278508,thesis_project-auth_service-1,"0,16"
1776343856.301505,thesis_project-api_gateway-1,"17,88"
1776343858.308661,thesis_project-user_service-1,"0,15"
1776343859.325079,thesis_project-data_service-1,"7,16"
1776343861.339138,thesis_project-auth_service-1,"0,23"
1776343863.3624692,thesis_project-api_gateway-1,"13,80"
1776343865.371815,thesis_project-user_service-1,"0,20"
1776343867.3808808,thesis_project-data_service-1,"5,66"
1776343869.410422,thesis_project-auth_service-1,"0,23"
1776343871.434259,thesis_project-api_gateway-1,"10,85"
1776343873.450884,thesis_project-user_service-1,"0,23"
1776343875.464093,thesis_project-data_service-1,"4,01"
1776343877.475472,thesis_project-auth_service-1,"0,25"
1776343879.5073578,thesis_project-api_gateway-1,"6,51"
1776343881.519328,thesis_project-user_service-1,"0,25"
1776343883.531368,thesis_project-data_service-1,"1,25"
1776343885.539952,thesis_project-auth_service-1,"0,23"
1776343887.563205,thesis_project-api_gateway-1,"0,29"
