Timestamp,Container,CPU_Perc
1776270408.320019,thesis_project-auth_service-1,"0,22"
1776270410.334743,thesis_project-data_service-1,"0,25"
1776270412.346335,thesis_project-api_gateway-1,"0,20"
1776270414.3566122,thesis_project-user_service-1,"0,07"
1776270416.36864,thesis_project-auth_service-1,"0,08"
1776270418.371861,thesis_project-data_service-1,"30,92"
1776270420.374519,thesis_project-api_gateway-1,"50,14"
1776270422.377845,thesis_project-user_service-1,"0,06"
1776270424.390134,thesis_project-auth_service-1,"0,07"
1776270426.3984482,thesis_project-data_service-1,"25,29"
1776270428.4036639,thesis_project-api_gateway-1,"35,35"
1776270430.408648,thesis_project-user_service-1,"0,08"
1776270432.4214091,thesis_project-auth_service-1,"0,06"
1776270434.427524,thesis_project-data_service-1,"25,26"
1776270436.4414122,thesis_project-api_gateway-1,"45,80"
1776270438.445902,thesis_project-user_service-1,"0,05"
1776270440.453012,thesis_project-auth_service-1,"0,07"
1776270442.45857,thesis_project-data_service-1,"14,57"
1776270444.4615319,thesis_project-api_gateway-1,"33,01"
1776270446.471594,thesis_project-user_service-1,"0,07"
1776270448.479677,thesis_project-auth_service-1,"0,07"
1776270450.4823139,thesis_project-data_service-1,"22,57"
1776270452.491783,thesis_project-api_gateway-1,"40,39"
1776270454.49591,thesis_project-user_service-1,"0,07"
1776270457.511853,thesis_project-auth_service-1,"0,05"
1776270459.5197031,thesis_project-data_service-1,"12,54"
1776270461.525193,thesis_project-api_gateway-1,"34,84"
1776270463.538501,thesis_project-user_service-1,"0,07"
1776270466.5495071,thesis_project-auth_service-1,"0,07"
1776270468.5521479,thesis_project-data_service-1,"17,12"
1776270470.555275,thesis_project-api_gateway-1,"31,38"
1776270472.559437,thesis_project-user_service-1,"0,06"
1776270474.56686,thesis_project-auth_service-1,"0,06"
1776270476.577739,thesis_project-data_service-1,"19,03"
1776270478.5849211,thesis_project-api_gateway-1,"52,96"
1776270480.58799,thesis_project-user_service-1,"0,07"
1776270482.6039062,thesis_project-auth_service-1,"0,07"
1776270484.6098292,thesis_project-data_service-1,"26,65"
1776270486.621516,thesis_project-api_gateway-1,"29,61"
1776270488.628452,thesis_project-user_service-1,"0,06"
1776270490.642383,thesis_project-auth_service-1,"1,72"
1776270492.645448,thesis_project-data_service-1,"16,92"
1776270494.648629,thesis_project-api_gateway-1,"54,30"
1776270496.656343,thesis_project-user_service-1,"0,07"
1776270498.665597,thesis_project-auth_service-1,"0,06"
1776270500.671802,thesis_project-data_service-1,"35,12"
1776270502.678667,thesis_project-api_gateway-1,"20,72"
1776270504.682323,thesis_project-user_service-1,"0,08"
1776270507.697101,thesis_project-auth_service-1,"0,08"
1776270509.7057018,thesis_project-data_service-1,"40,88"
1776270511.713685,thesis_project-api_gateway-1,"32,04"
1776270513.717082,thesis_project-user_service-1,"0,06"
1776270516.728064,thesis_project-auth_service-1,"0,06"
1776270518.73336,thesis_project-data_service-1,"25,64"
1776270520.737396,thesis_project-api_gateway-1,"40,33"
1776270522.741604,thesis_project-user_service-1,"0,07"
1776270524.756098,thesis_project-auth_service-1,"0,08"
1776270526.764609,thesis_project-data_service-1,"20,92"
1776270528.767563,thesis_project-api_gateway-1,"49,96"
1776270530.770517,thesis_project-user_service-1,"0,09"
1776270532.7773068,thesis_project-auth_service-1,"0,07"
1776270534.7812412,thesis_project-data_service-1,"36,34"
1776270536.791633,thesis_project-api_gateway-1,"26,54"
1776270538.794519,thesis_project-user_service-1,"0,06"
1776270540.8082519,thesis_project-auth_service-1,"0,07"
1776270542.814498,thesis_project-data_service-1,"6,64"
1776270544.8252091,thesis_project-api_gateway-1,"49,32"
1776270546.833418,thesis_project-user_service-1,"0,07"
1776270548.844687,thesis_project-auth_service-1,"0,07"
1776270550.849631,thesis_project-data_service-1,"32,34"
1776270552.85811,thesis_project-api_gateway-1,"23,28"
