Timestamp,Container,CPU_Perc
1776424874.748332,thesis_project-api_gateway-1,"0,23"
1776424876.7736268,thesis_project-auth_service-1,"1,69"
1776424877.795999,thesis_project-data_service-1,"2,19"
1776424879.816201,thesis_project-user_service-1,"2,08"
1776424881.83134,thesis_project-api_gateway-1,"6,63"
1776424883.8463612,thesis_project-auth_service-1,"0,33"
1776424885.875653,thesis_project-data_service-1,"5,98"
1776424887.90288,thesis_project-user_service-1,"4,03"
1776424889.918598,thesis_project-api_gateway-1,"11,69"
1776424891.929337,thesis_project-auth_service-1,"0,20"
1776424893.942229,thesis_project-data_service-1,"11,55"
1776424895.9505,thesis_project-user_service-1,"6,65"
1776424897.968965,thesis_project-api_gateway-1,"15,25"
1776424899.979593,thesis_project-auth_service-1,"0,21"
1776424901.998306,thesis_project-data_service-1,"13,99"
1776424904.0119302,thesis_project-user_service-1,"7,90"
1776424906.041822,thesis_project-api_gateway-1,"18,63"
1776424908.061546,thesis_project-auth_service-1,"0,15"
1776424910.068651,thesis_project-data_service-1,"16,98"
1776424912.0736709,thesis_project-user_service-1,"7,83"
1776424914.087473,thesis_project-api_gateway-1,"19,40"
1776424916.099029,thesis_project-auth_service-1,"0,16"
1776424918.124796,thesis_project-data_service-1,"16,05"
1776424920.144685,thesis_project-user_service-1,"8,02"
1776424922.1706219,thesis_project-api_gateway-1,"18,54"
1776424924.180664,thesis_project-auth_service-1,"0,12"
1776424926.196118,thesis_project-data_service-1,"16,01"
1776424928.211925,thesis_project-user_service-1,"7,65"
1776424930.229606,thesis_project-api_gateway-1,"17,91"
1776424932.2393222,thesis_project-auth_service-1,"0,18"
1776424934.2532532,thesis_project-data_service-1,"12,97"
1776424936.272822,thesis_project-user_service-1,"7,60"
1776424938.286301,thesis_project-api_gateway-1,"18,85"
1776424940.295604,thesis_project-auth_service-1,"0,19"
1776424942.302151,thesis_project-data_service-1,"24,09"
1776424944.306176,thesis_project-user_service-1,"7,26"
1776424947.344765,thesis_project-api_gateway-1,"18,61"
1776424949.3558872,thesis_project-auth_service-1,"0,17"
1776424951.366323,thesis_project-data_service-1,"15,81"
1776424953.375786,thesis_project-user_service-1,"7,32"
1776424955.400943,thesis_project-api_gateway-1,"16,07"
1776424956.422646,thesis_project-auth_service-1,"0,15"
1776424958.4377532,thesis_project-data_service-1,"14,80"
1776424960.447118,thesis_project-user_service-1,"7,39"
1776424962.463986,thesis_project-api_gateway-1,"18,02"
1776424964.4735081,thesis_project-auth_service-1,"0,12"
1776424966.483993,thesis_project-data_service-1,"14,35"
1776424968.494426,thesis_project-user_service-1,"7,41"
1776424970.511899,thesis_project-api_gateway-1,"15,56"
1776424972.52548,thesis_project-auth_service-1,"0,22"
1776424974.537817,thesis_project-data_service-1,"14,68"
1776424976.552387,thesis_project-user_service-1,"7,56"
1776424978.571689,thesis_project-api_gateway-1,"17,10"
1776424980.583298,thesis_project-auth_service-1,"0,15"
1776424982.5884202,thesis_project-data_service-1,"15,84"
1776424984.594917,thesis_project-user_service-1,"8,03"
1776424986.6054919,thesis_project-api_gateway-1,"16,01"
1776424988.614115,thesis_project-auth_service-1,"0,15"
1776424990.622585,thesis_project-data_service-1,"13,52"
1776424992.637357,thesis_project-user_service-1,"7,30"
1776424994.660714,thesis_project-api_gateway-1,"17,38"
1776424996.6794398,thesis_project-auth_service-1,"0,17"
1776424997.694598,thesis_project-data_service-1,"13,53"
1776424999.707499,thesis_project-user_service-1,"7,15"
1776425001.735271,thesis_project-api_gateway-1,"16,11"
1776425003.747971,thesis_project-auth_service-1,"0,13"
1776425005.758711,thesis_project-data_service-1,"13,55"
1776425007.779395,thesis_project-user_service-1,"7,44"
1776425009.799045,thesis_project-api_gateway-1,"17,24"
1776425011.8058949,thesis_project-auth_service-1,"0,16"
1776425013.8108852,thesis_project-data_service-1,"14,22"
1776425015.814183,thesis_project-user_service-1,"7,42"
1776425017.825776,thesis_project-api_gateway-1,"15,73"
1776425019.8318348,thesis_project-auth_service-1,"0,17"
1776425021.846234,thesis_project-data_service-1,"13,49"
1776425023.8592808,thesis_project-user_service-1,"7,11"
1776425025.881612,thesis_project-api_gateway-1,"15,69"
1776425026.8963819,thesis_project-auth_service-1,"0,18"
1776425028.911347,thesis_project-data_service-1,"14,16"
1776425030.923012,thesis_project-user_service-1,"6,50"
1776425032.938061,thesis_project-api_gateway-1,"13,74"
1776425034.948283,thesis_project-auth_service-1,"0,16"
1776425036.967752,thesis_project-data_service-1,"11,30"
1776425038.9889212,thesis_project-user_service-1,"5,16"
1776425041.014066,thesis_project-api_gateway-1,"10,84"
1776425043.032049,thesis_project-auth_service-1,"0,18"
1776425045.048952,thesis_project-data_service-1,"7,39"
1776425047.071636,thesis_project-user_service-1,"3,54"
1776425049.093738,thesis_project-api_gateway-1,"6,79"
1776425051.109313,thesis_project-auth_service-1,"0,25"
1776425053.12171,thesis_project-data_service-1,"3,39"
1776425055.1321778,thesis_project-user_service-1,"1,08"
1776425058.1660218,thesis_project-api_gateway-1,"0,33"
1776425060.186151,thesis_project-auth_service-1,"0,27"
1776425062.19612,thesis_project-data_service-1,"0,27"
1776425064.207923,thesis_project-user_service-1,"0,27"
1776425067.2499049,thesis_project-api_gateway-1,"0,23"
1776425069.2657359,thesis_project-auth_service-1,"0,23"
1776425071.285792,thesis_project-data_service-1,"0,28"
1776425073.3013692,thesis_project-user_service-1,"0,23"
1776425075.3224761,thesis_project-api_gateway-1,"0,23"
1776425076.343714,thesis_project-auth_service-1,"0,21"
1776425078.36035,thesis_project-data_service-1,"0,32"
