Timestamp,Container,CPU_Perc
1776375674.7932632,thesis_project-api_gateway-1,"0,24"
1776375676.8089228,thesis_project-data_service-1,"3,04"
1776375678.8287659,thesis_project-auth_service-1,"0,20"
1776375680.851855,thesis_project-user_service-1,"3,08"
1776375682.874947,thesis_project-api_gateway-1,"3,12"
1776375684.884026,thesis_project-data_service-1,"4,97"
1776375686.89288,thesis_project-auth_service-1,"0,19"
1776375688.9084458,thesis_project-user_service-1,"5,64"
1776375690.924132,thesis_project-api_gateway-1,"6,42"
1776375692.9389539,thesis_project-data_service-1,"9,07"
1776375694.949273,thesis_project-auth_service-1,"0,16"
1776375696.956647,thesis_project-user_service-1,"8,00"
1776375698.9817832,thesis_project-api_gateway-1,"9,01"
1776375700.992768,thesis_project-data_service-1,"10,82"
1776375702.9979641,thesis_project-auth_service-1,"0,12"
1776375705.0102441,thesis_project-user_service-1,"8,43"
1776375707.0233228,thesis_project-api_gateway-1,"11,77"
1776375709.036445,thesis_project-data_service-1,"13,54"
1776375711.046752,thesis_project-auth_service-1,"0,11"
1776375713.056064,thesis_project-user_service-1,"11,30"
1776375715.071258,thesis_project-api_gateway-1,"11,08"
1776375717.080134,thesis_project-data_service-1,"12,66"
1776375719.091695,thesis_project-auth_service-1,"0,14"
1776375721.106722,thesis_project-user_service-1,"8,66"
1776375723.124369,thesis_project-api_gateway-1,"10,88"
1776375725.134685,thesis_project-data_service-1,"12,51"
1776375727.141592,thesis_project-auth_service-1,"0,16"
1776375728.153078,thesis_project-user_service-1,"8,98"
1776375730.165045,thesis_project-api_gateway-1,"11,59"
1776375732.1773682,thesis_project-data_service-1,"11,41"
1776375734.188067,thesis_project-auth_service-1,"0,17"
1776375736.197709,thesis_project-user_service-1,"9,97"
1776375739.213835,thesis_project-api_gateway-1,"11,63"
1776375741.22229,thesis_project-data_service-1,"9,63"
1776375743.229413,thesis_project-auth_service-1,"0,15"
1776375745.236902,thesis_project-user_service-1,"10,51"
1776375747.254813,thesis_project-api_gateway-1,"11,03"
1776375749.2814798,thesis_project-data_service-1,"11,50"
1776375751.299582,thesis_project-auth_service-1,"0,16"
1776375753.3087091,thesis_project-user_service-1,"10,60"
1776375755.325652,thesis_project-api_gateway-1,"11,44"
1776375757.337495,thesis_project-data_service-1,"9,72"
1776375758.3561192,thesis_project-auth_service-1,"0,17"
1776375760.3866801,thesis_project-user_service-1,"10,57"
1776375762.407517,thesis_project-api_gateway-1,"11,06"
1776375764.424327,thesis_project-data_service-1,"12,28"
1776375766.435241,thesis_project-auth_service-1,"0,20"
1776375768.4435682,thesis_project-user_service-1,"9,46"
1776375770.460829,thesis_project-api_gateway-1,"11,54"
1776375772.471352,thesis_project-data_service-1,"8,90"
1776375774.479407,thesis_project-auth_service-1,"0,19"
1776375776.494617,thesis_project-user_service-1,"10,70"
1776375779.5231209,thesis_project-api_gateway-1,"11,91"
1776375781.531935,thesis_project-data_service-1,"11,97"
1776375783.5376482,thesis_project-auth_service-1,"0,13"
1776375785.55054,thesis_project-user_service-1,"8,82"
1776375787.577445,thesis_project-api_gateway-1,"10,92"
1776375788.598725,thesis_project-data_service-1,"12,09"
1776375790.608171,thesis_project-auth_service-1,"0,17"
1776375792.614362,thesis_project-user_service-1,"10,74"
1776375794.626743,thesis_project-api_gateway-1,"10,10"
1776375796.636638,thesis_project-data_service-1,"12,01"
1776375798.651628,thesis_project-auth_service-1,"0,15"
1776375799.6598122,thesis_project-user_service-1,"10,74"
1776375801.669329,thesis_project-api_gateway-1,"10,01"
1776375803.680392,thesis_project-data_service-1,"11,59"
1776375805.690346,thesis_project-auth_service-1,"0,15"
1776375807.7009122,thesis_project-user_service-1,"9,46"
1776375809.718554,thesis_project-api_gateway-1,"11,42"
1776375811.725305,thesis_project-data_service-1,"9,30"
1776375813.730401,thesis_project-auth_service-1,"0,13"
1776375815.739562,thesis_project-user_service-1,"10,01"
1776375817.7558799,thesis_project-api_gateway-1,"11,51"
1776375819.768703,thesis_project-data_service-1,"11,12"
1776375821.7774699,thesis_project-auth_service-1,"0,17"
1776375823.784467,thesis_project-user_service-1,"10,65"
1776375825.7993479,thesis_project-api_gateway-1,"12,23"
1776375827.809104,thesis_project-data_service-1,"12,10"
1776375829.8414102,thesis_project-auth_service-1,"0,14"
1776375831.851632,thesis_project-user_service-1,"9,34"
1776375833.87092,thesis_project-api_gateway-1,"10,16"
1776375835.880991,thesis_project-data_service-1,"8,93"
1776375837.8971,thesis_project-auth_service-1,"0,17"
1776375839.920921,thesis_project-user_service-1,"6,99"
1776375841.936275,thesis_project-api_gateway-1,"6,95"
1776375843.945756,thesis_project-data_service-1,"7,18"
1776375845.951046,thesis_project-auth_service-1,"0,24"
1776375847.957959,thesis_project-user_service-1,"2,96"
1776375849.985816,thesis_project-api_gateway-1,"4,50"
1776375851.994338,thesis_project-data_service-1,"3,38"
1776375854.0036118,thesis_project-auth_service-1,"0,23"
1776375856.012772,thesis_project-user_service-1,"1,63"
1776375858.035622,thesis_project-api_gateway-1,"0,33"
1776375860.05625,thesis_project-data_service-1,"0,24"
