Timestamp,Container,CPU_Perc
1776376308.005514,thesis_project-user_service-1,"0,31"
1776376310.01782,thesis_project-api_gateway-1,"3,07"
1776376312.032347,thesis_project-data_service-1,"2,64"
1776376314.055732,thesis_project-auth_service-1,"0,34"
1776376316.0809789,thesis_project-user_service-1,"2,88"
1776376318.098725,thesis_project-api_gateway-1,"7,35"
1776376320.110293,thesis_project-data_service-1,"8,29"
1776376322.124943,thesis_project-auth_service-1,"0,17"
1776376324.147605,thesis_project-user_service-1,"5,15"
1776376326.163834,thesis_project-api_gateway-1,"13,25"
1776376328.177492,thesis_project-data_service-1,"9,87"
1776376330.187395,thesis_project-auth_service-1,"0,19"
1776376332.210994,thesis_project-user_service-1,"6,69"
1776376334.233255,thesis_project-api_gateway-1,"17,32"
1776376335.24909,thesis_project-data_service-1,"13,86"
1776376337.258991,thesis_project-auth_service-1,"0,15"
1776376339.2769458,thesis_project-user_service-1,"8,47"
1776376341.287203,thesis_project-api_gateway-1,"21,26"
1776376343.2943182,thesis_project-data_service-1,"16,43"
1776376345.313959,thesis_project-auth_service-1,"0,15"
1776376347.329524,thesis_project-user_service-1,"8,34"
1776376349.338156,thesis_project-api_gateway-1,"18,21"
1776376351.351625,thesis_project-data_service-1,"17,35"
1776376353.362785,thesis_project-auth_service-1,"0,14"
1776376355.387994,thesis_project-user_service-1,"8,34"
1776376357.397373,thesis_project-api_gateway-1,"18,82"
1776376359.406114,thesis_project-data_service-1,"16,97"
1776376361.415759,thesis_project-auth_service-1,"0,17"
1776376363.428214,thesis_project-user_service-1,"8,24"
1776376365.442057,thesis_project-api_gateway-1,"18,45"
1776376367.445902,thesis_project-data_service-1,"15,47"
1776376369.451095,thesis_project-auth_service-1,"0,14"
1776376371.464986,thesis_project-user_service-1,"8,02"
1776376373.470016,thesis_project-api_gateway-1,"15,72"
1776376375.484534,thesis_project-data_service-1,"14,16"
1776376377.497741,thesis_project-auth_service-1,"0,16"
1776376379.520413,thesis_project-user_service-1,"7,57"
1776376381.5337431,thesis_project-api_gateway-1,"16,18"
1776376383.552153,thesis_project-data_service-1,"14,60"
1776376385.570258,thesis_project-auth_service-1,"0,17"
1776376387.581959,thesis_project-user_service-1,"7,06"
1776376389.592448,thesis_project-api_gateway-1,"16,13"
1776376391.596614,thesis_project-data_service-1,"13,83"
1776376393.600218,thesis_project-auth_service-1,"0,15"
1776376395.611742,thesis_project-user_service-1,"6,99"
1776376397.6175308,thesis_project-api_gateway-1,"15,23"
1776376399.625516,thesis_project-data_service-1,"13,99"
1776376401.638277,thesis_project-auth_service-1,"0,13"
1776376403.664603,thesis_project-user_service-1,"7,67"
1776376404.68289,thesis_project-api_gateway-1,"17,63"
1776376406.6945632,thesis_project-data_service-1,"15,17"
1776376408.704451,thesis_project-auth_service-1,"0,19"
1776376410.718993,thesis_project-user_service-1,"7,37"
1776376412.7239292,thesis_project-api_gateway-1,"17,13"
1776376414.746315,thesis_project-data_service-1,"14,97"
1776376416.7604868,thesis_project-auth_service-1,"0,15"
1776376418.773637,thesis_project-user_service-1,"7,57"
1776376420.783798,thesis_project-api_gateway-1,"16,63"
1776376422.7879539,thesis_project-data_service-1,"14,60"
1776376424.798642,thesis_project-auth_service-1,"0,19"
1776376426.807858,thesis_project-user_service-1,"6,80"
1776376428.816664,thesis_project-api_gateway-1,"15,91"
1776376430.82939,thesis_project-data_service-1,"14,78"
1776376432.8356721,thesis_project-auth_service-1,"0,12"
1776376434.858973,thesis_project-user_service-1,"7,93"
1776376436.87214,thesis_project-api_gateway-1,"18,09"
1776376438.880692,thesis_project-data_service-1,"14,51"
1776376440.890943,thesis_project-auth_service-1,"0,16"
1776376442.9091258,thesis_project-user_service-1,"6,91"
1776376444.927996,thesis_project-api_gateway-1,"16,56"
1776376446.9368079,thesis_project-data_service-1,"14,80"
1776376448.942025,thesis_project-auth_service-1,"0,16"
1776376450.9553301,thesis_project-user_service-1,"7,15"
1776376452.9652858,thesis_project-api_gateway-1,"16,01"
1776376454.9888551,thesis_project-data_service-1,"13,42"
1776376456.9984052,thesis_project-auth_service-1,"0,16"
1776376459.016953,thesis_project-user_service-1,"7,21"
1776376461.026706,thesis_project-api_gateway-1,"16,80"
1776376463.037083,thesis_project-data_service-1,"13,89"
1776376465.0531,thesis_project-auth_service-1,"0,17"
1776376467.064571,thesis_project-user_service-1,"6,07"
1776376469.069505,thesis_project-api_gateway-1,"13,62"
1776376471.0762439,thesis_project-data_service-1,"11,04"
1776376473.0858,thesis_project-auth_service-1,"0,13"
1776376475.112442,thesis_project-user_service-1,"4,33"
1776376477.127318,thesis_project-api_gateway-1,"9,38"
1776376479.1387131,thesis_project-data_service-1,"8,35"
1776376481.1544409,thesis_project-auth_service-1,"0,17"
1776376483.1744058,thesis_project-user_service-1,"2,57"
1776376485.205914,thesis_project-api_gateway-1,"5,72"
1776376487.217636,thesis_project-data_service-1,"3,35"
1776376489.22835,thesis_project-auth_service-1,"0,25"
1776376491.2482271,thesis_project-user_service-1,"0,24"
1776376493.2604601,thesis_project-api_gateway-1,"0,30"
1776376495.292057,thesis_project-data_service-1,"0,43"
1776376497.306087,thesis_project-auth_service-1,"0,29"
1776376499.3278332,thesis_project-user_service-1,"0,26"
1776376501.34372,thesis_project-api_gateway-1,"0,28"
