Timestamp,Container,CPU_Perc
1776342235.1511838,thesis_project-user_service-1,"0,56"
1776342237.166673,thesis_project-api_gateway-1,"0,21"
1776342238.187767,thesis_project-data_service-1,"2,81"
1776342240.1991649,thesis_project-auth_service-1,"0,27"
1776342242.222005,thesis_project-user_service-1,"3,13"
1776342244.236592,thesis_project-api_gateway-1,"4,52"
1776342246.2514281,thesis_project-data_service-1,"4,83"
1776342248.273011,thesis_project-auth_service-1,"0,27"
1776342250.295371,thesis_project-user_service-1,"5,40"
1776342252.304693,thesis_project-api_gateway-1,"6,99"
1776342254.313463,thesis_project-data_service-1,"8,75"
1776342256.319744,thesis_project-auth_service-1,"0,14"
1776342259.342168,thesis_project-user_service-1,"7,13"
1776342261.349072,thesis_project-api_gateway-1,"10,02"
1776342263.3589811,thesis_project-data_service-1,"9,13"
1776342265.368166,thesis_project-auth_service-1,"0,12"
1776342267.3853362,thesis_project-user_service-1,"10,29"
1776342269.4028502,thesis_project-api_gateway-1,"11,14"
1776342271.418486,thesis_project-data_service-1,"11,90"
1776342273.423439,thesis_project-auth_service-1,"0,13"
1776342275.444854,thesis_project-user_service-1,"9,04"
1776342277.449835,thesis_project-api_gateway-1,"11,90"
1776342278.4576588,thesis_project-data_service-1,"13,40"
1776342280.4758332,thesis_project-auth_service-1,"0,14"
1776342282.494474,thesis_project-user_service-1,"10,72"
1776342284.505055,thesis_project-api_gateway-1,"11,50"
1776342286.5105312,thesis_project-data_service-1,"15,17"
1776342288.523079,thesis_project-auth_service-1,"0,15"
1776342290.5429919,thesis_project-user_service-1,"10,38"
1776342292.5517728,thesis_project-api_gateway-1,"12,45"
1776342294.558092,thesis_project-data_service-1,"11,13"
1776342296.569201,thesis_project-auth_service-1,"0,17"
1776342298.598358,thesis_project-user_service-1,"10,22"
1776342300.607784,thesis_project-api_gateway-1,"11,72"
1776342302.613193,thesis_project-data_service-1,"11,99"
1776342304.619961,thesis_project-auth_service-1,"0,13"
1776342306.643441,thesis_project-user_service-1,"10,24"
1776342307.665324,thesis_project-api_gateway-1,"11,38"
1776342309.68682,thesis_project-data_service-1,"11,94"
1776342311.69754,thesis_project-auth_service-1,"0,14"
1776342313.7136042,thesis_project-user_service-1,"10,54"
1776342315.724254,thesis_project-api_gateway-1,"9,84"
1776342317.7502122,thesis_project-data_service-1,"11,59"
1776342319.7607942,thesis_project-auth_service-1,"0,19"
1776342321.775087,thesis_project-user_service-1,"10,35"
1776342323.7885,thesis_project-api_gateway-1,"11,71"
1776342325.799042,thesis_project-data_service-1,"12,03"
1776342327.8205628,thesis_project-auth_service-1,"0,18"
1776342329.837107,thesis_project-user_service-1,"10,80"
1776342331.845642,thesis_project-api_gateway-1,"9,57"
1776342333.859377,thesis_project-data_service-1,"12,42"
1776342335.87182,thesis_project-auth_service-1,"0,16"
1776342337.897223,thesis_project-user_service-1,"9,44"
1776342339.9101949,thesis_project-api_gateway-1,"11,61"
1776342341.916519,thesis_project-data_service-1,"8,95"
1776342343.939994,thesis_project-auth_service-1,"0,12"
1776342345.962025,thesis_project-user_service-1,"10,49"
1776342347.975882,thesis_project-api_gateway-1,"12,23"
1776342349.992415,thesis_project-data_service-1,"11,56"
1776342352.0117629,thesis_project-auth_service-1,"0,14"
1776342354.0356421,thesis_project-user_service-1,"10,29"
1776342356.04021,thesis_project-api_gateway-1,"11,82"
1776342358.0551722,thesis_project-data_service-1,"10,17"
1776342360.0673149,thesis_project-auth_service-1,"0,18"
1776342362.096781,thesis_project-user_service-1,"8,51"
1776342364.109895,thesis_project-api_gateway-1,"12,18"
1776342366.117802,thesis_project-data_service-1,"12,41"
1776342368.125792,thesis_project-auth_service-1,"0,22"
1776342370.141788,thesis_project-user_service-1,"7,97"
1776342372.155951,thesis_project-api_gateway-1,"11,69"
1776342374.160969,thesis_project-data_service-1,"13,46"
1776342376.168889,thesis_project-auth_service-1,"0,12"
1776342379.200414,thesis_project-user_service-1,"10,82"
1776342381.204994,thesis_project-api_gateway-1,"12,30"
1776342383.210041,thesis_project-data_service-1,"11,39"
1776342385.2206888,thesis_project-auth_service-1,"0,18"
1776342387.236196,thesis_project-user_service-1,"10,85"
1776342388.256493,thesis_project-api_gateway-1,"11,87"
1776342390.2686012,thesis_project-data_service-1,"12,07"
1776342392.279509,thesis_project-auth_service-1,"0,15"
1776342394.294236,thesis_project-user_service-1,"8,78"
1776342396.302537,thesis_project-api_gateway-1,"9,27"
1776342398.320769,thesis_project-data_service-1,"8,62"
1776342399.333295,thesis_project-auth_service-1,"0,16"
1776342401.3499389,thesis_project-user_service-1,"7,39"
1776342403.3633149,thesis_project-api_gateway-1,"6,99"
1776342405.37889,thesis_project-data_service-1,"7,10"
1776342407.388323,thesis_project-auth_service-1,"0,26"
1776342409.406267,thesis_project-user_service-1,"3,11"
1776342411.41617,thesis_project-api_gateway-1,"3,94"
1776342413.428074,thesis_project-data_service-1,"3,06"
1776342415.439195,thesis_project-auth_service-1,"0,31"
1776342417.453254,thesis_project-user_service-1,"0,32"
1776342419.476052,thesis_project-api_gateway-1,"0,29"
1776342421.484888,thesis_project-data_service-1,"0,47"
