Timestamp,Container,CPU_Perc
1776270668.156321,thesis_project-auth_service-1,"0,23"
1776270670.166934,thesis_project-data_service-1,"17,20"
1776270672.170903,thesis_project-api_gateway-1,"28,70"
1776270674.176982,thesis_project-user_service-1,"16,93"
1776270677.1872342,thesis_project-auth_service-1,"0,05"
1776270679.191676,thesis_project-data_service-1,"50,03"
1776270681.194597,thesis_project-api_gateway-1,"31,18"
1776270683.197973,thesis_project-user_service-1,"22,11"
1776270686.209954,thesis_project-auth_service-1,"0,07"
1776270688.213378,thesis_project-data_service-1,"49,91"
1776270690.217558,thesis_project-api_gateway-1,"28,62"
1776270692.22125,thesis_project-user_service-1,"8,57"
1776270694.230386,thesis_project-auth_service-1,"0,07"
1776270696.243495,thesis_project-data_service-1,"50,09"
1776270698.247047,thesis_project-api_gateway-1,"40,00"
1776270700.252722,thesis_project-user_service-1,"21,24"
1776270702.261388,thesis_project-auth_service-1,"0,06"
1776270704.267071,thesis_project-data_service-1,"50,11"
1776270706.279086,thesis_project-api_gateway-1,"39,73"
1776270708.281583,thesis_project-user_service-1,"11,03"
1776270710.2903612,thesis_project-auth_service-1,"0,06"
1776270712.2947829,thesis_project-data_service-1,"49,98"
1776270714.303083,thesis_project-api_gateway-1,"8,02"
1776270716.3136241,thesis_project-user_service-1,"5,21"
1776270718.325135,thesis_project-auth_service-1,"0,07"
1776270720.331181,thesis_project-data_service-1,"40,46"
1776270722.3349,thesis_project-api_gateway-1,"0,91"
1776270724.3379421,thesis_project-user_service-1,"6,36"
1776270727.350383,thesis_project-auth_service-1,"0,06"
1776270729.3555222,thesis_project-data_service-1,"44,85"
1776270731.358968,thesis_project-api_gateway-1,"33,81"
1776270733.363416,thesis_project-user_service-1,"28,43"
1776270736.372022,thesis_project-auth_service-1,"0,06"
1776270738.374951,thesis_project-data_service-1,"37,95"
1776270740.378263,thesis_project-api_gateway-1,"13,06"
1776270742.382468,thesis_project-user_service-1,"15,21"
1776270744.394285,thesis_project-auth_service-1,"0,07"
1776270746.403521,thesis_project-data_service-1,"25,86"
1776270748.4076622,thesis_project-api_gateway-1,"27,69"
1776270750.41329,thesis_project-user_service-1,"14,52"
1776270752.4205701,thesis_project-auth_service-1,"0,08"
1776270754.425229,thesis_project-data_service-1,"50,59"
1776270756.433992,thesis_project-api_gateway-1,"0,83"
1776270758.437658,thesis_project-user_service-1,"3,21"
1776270760.447022,thesis_project-auth_service-1,"0,07"
1776270762.4494238,thesis_project-data_service-1,"15,16"
1776270764.453985,thesis_project-api_gateway-1,"4,54"
1776270766.462605,thesis_project-user_service-1,"0,57"
1776270768.472523,thesis_project-auth_service-1,"0,06"
1776270770.476637,thesis_project-data_service-1,"43,91"
1776270772.4807029,thesis_project-api_gateway-1,"50,24"
1776270774.4864562,thesis_project-user_service-1,"48,88"
1776270777.496133,thesis_project-auth_service-1,"0,06"
1776270779.501792,thesis_project-data_service-1,"22,17"
1776270781.505452,thesis_project-api_gateway-1,"6,52"
1776270783.509562,thesis_project-user_service-1,"0,07"
1776270786.5224462,thesis_project-auth_service-1,"0,06"
1776270788.5259159,thesis_project-data_service-1,"36,03"
1776270790.5324721,thesis_project-api_gateway-1,"17,52"
1776270792.535989,thesis_project-user_service-1,"9,37"
1776270794.5450602,thesis_project-auth_service-1,"0,07"
1776270796.5535731,thesis_project-data_service-1,"22,59"
1776270798.556821,thesis_project-api_gateway-1,"25,38"
1776270800.561981,thesis_project-user_service-1,"0,12"
1776270802.576352,thesis_project-auth_service-1,"0,06"
1776270804.5821178,thesis_project-data_service-1,"43,37"
1776270806.595055,thesis_project-api_gateway-1,"21,73"
1776270808.598912,thesis_project-user_service-1,"3,96"
1776270810.6107788,thesis_project-auth_service-1,"0,06"
1776270812.6142762,thesis_project-data_service-1,"20,98"
1776270814.621075,thesis_project-api_gateway-1,"11,66"
1776270816.6315892,thesis_project-user_service-1,"0,08"
1776270818.642383,thesis_project-auth_service-1,"0,07"
1776270820.6471949,thesis_project-data_service-1,"37,66"
1776270822.651861,thesis_project-api_gateway-1,"48,07"
1776270824.658557,thesis_project-user_service-1,"38,63"
1776270826.670187,thesis_project-auth_service-1,"0,06"
1776270828.675755,thesis_project-data_service-1,"31,27"
1776270830.677897,thesis_project-api_gateway-1,"27,72"
1776270832.683866,thesis_project-user_service-1,"27,60"
1776270834.695149,thesis_project-auth_service-1,"0,07"
1776270836.705407,thesis_project-data_service-1,"39,85"
1776270838.7085881,thesis_project-api_gateway-1,"26,63"
1776270840.7126138,thesis_project-user_service-1,"14,44"
1776270842.7208261,thesis_project-auth_service-1,"0,07"
1776270844.724596,thesis_project-data_service-1,"48,50"
1776270846.736875,thesis_project-api_gateway-1,"30,16"
1776270848.74086,thesis_project-user_service-1,"15,34"
1776270850.758372,thesis_project-auth_service-1,"0,28"
1776270852.76881,thesis_project-data_service-1,"0,26"
