Timestamp,Container,CPU_Perc
1776374387.4785438,thesis_project-api_gateway-1,"0,29"
1776374389.492471,thesis_project-user_service-1,"0,23"
1776374391.517872,thesis_project-auth_service-1,"0,29"
1776374393.533296,thesis_project-data_service-1,"3,20"
1776374395.551523,thesis_project-api_gateway-1,"3,51"
1776374397.562282,thesis_project-user_service-1,"0,23"
1776374399.57218,thesis_project-auth_service-1,"0,20"
1776374401.587265,thesis_project-data_service-1,"4,39"
1776374403.607172,thesis_project-api_gateway-1,"8,54"
1776374405.6206348,thesis_project-user_service-1,"0,21"
1776374407.62848,thesis_project-auth_service-1,"0,20"
1776374409.6574762,thesis_project-data_service-1,"8,45"
1776374411.680655,thesis_project-api_gateway-1,"11,17"
1776374413.6966898,thesis_project-user_service-1,"0,16"
1776374415.705306,thesis_project-auth_service-1,"0,19"
1776374417.714286,thesis_project-data_service-1,"10,80"
1776374419.7410188,thesis_project-api_gateway-1,"13,41"
1776374421.756879,thesis_project-user_service-1,"0,14"
1776374423.766536,thesis_project-auth_service-1,"0,15"
1776374425.776226,thesis_project-data_service-1,"11,37"
1776374427.7877162,thesis_project-api_gateway-1,"14,16"
1776374429.79865,thesis_project-user_service-1,"0,14"
1776374430.809675,thesis_project-auth_service-1,"0,15"
1776374432.820844,thesis_project-data_service-1,"12,40"
1776374434.834333,thesis_project-api_gateway-1,"14,17"
1776374436.844707,thesis_project-user_service-1,"0,15"
1776374438.851202,thesis_project-auth_service-1,"0,14"
1776374440.868521,thesis_project-data_service-1,"10,28"
1776374442.8883278,thesis_project-api_gateway-1,"13,68"
1776374444.900288,thesis_project-user_service-1,"0,14"
1776374446.911052,thesis_project-auth_service-1,"0,16"
1776374448.9225779,thesis_project-data_service-1,"12,12"
1776374450.943338,thesis_project-api_gateway-1,"13,09"
1776374452.948013,thesis_project-user_service-1,"0,13"
1776374454.960107,thesis_project-auth_service-1,"0,16"
1776374456.969404,thesis_project-data_service-1,"11,70"
1776374458.985292,thesis_project-api_gateway-1,"12,61"
1776374461.020023,thesis_project-user_service-1,"0,15"
1776374463.0285099,thesis_project-auth_service-1,"0,18"
1776374465.033056,thesis_project-data_service-1,"10,67"
1776374467.0414238,thesis_project-api_gateway-1,"9,92"
1776374469.0532212,thesis_project-user_service-1,"0,15"
1776374471.083183,thesis_project-auth_service-1,"0,11"
1776374473.094131,thesis_project-data_service-1,"10,60"
1776374475.1094542,thesis_project-api_gateway-1,"13,11"
1776374477.116959,thesis_project-user_service-1,"0,17"
1776374479.1301508,thesis_project-auth_service-1,"0,17"
1776374481.1598778,thesis_project-data_service-1,"10,15"
1776374483.1838021,thesis_project-api_gateway-1,"11,99"
1776374485.1936839,thesis_project-user_service-1,"0,28"
1776374487.200775,thesis_project-auth_service-1,"0,15"
1776374489.206037,thesis_project-data_service-1,"10,41"
1776374491.21681,thesis_project-api_gateway-1,"10,46"
1776374493.225621,thesis_project-user_service-1,"0,15"
1776374495.234949,thesis_project-auth_service-1,"0,19"
1776374497.242644,thesis_project-data_service-1,"10,83"
1776374499.265305,thesis_project-api_gateway-1,"12,45"
1776374501.28761,thesis_project-user_service-1,"0,16"
1776374503.299637,thesis_project-auth_service-1,"0,16"
1776374505.309119,thesis_project-data_service-1,"8,40"
1776374507.333096,thesis_project-api_gateway-1,"12,04"
1776374509.345425,thesis_project-user_service-1,"0,14"
1776374510.367713,thesis_project-auth_service-1,"0,14"
1776374512.380084,thesis_project-data_service-1,"10,70"
1776374514.399275,thesis_project-api_gateway-1,"12,13"
1776374516.4064908,thesis_project-user_service-1,"0,16"
1776374518.417737,thesis_project-auth_service-1,"0,18"
1776374520.432788,thesis_project-data_service-1,"10,91"
1776374522.456437,thesis_project-api_gateway-1,"12,65"
1776374524.468927,thesis_project-user_service-1,"0,17"
1776374526.477304,thesis_project-auth_service-1,"0,14"
1776374528.485764,thesis_project-data_service-1,"9,62"
1776374531.5099058,thesis_project-api_gateway-1,"11,71"
1776374533.524114,thesis_project-user_service-1,"0,17"
1776374535.537128,thesis_project-auth_service-1,"0,15"
1776374537.54964,thesis_project-data_service-1,"10,60"
1776374540.5669959,thesis_project-api_gateway-1,"12,59"
1776374542.573156,thesis_project-user_service-1,"0,16"
1776374544.5810812,thesis_project-auth_service-1,"0,19"
1776374546.594528,thesis_project-data_service-1,"10,12"
1776374548.610158,thesis_project-api_gateway-1,"11,63"
1776374550.642315,thesis_project-user_service-1,"0,16"
1776374552.653635,thesis_project-auth_service-1,"0,19"
1776374554.659749,thesis_project-data_service-1,"5,89"
1776374556.680573,thesis_project-api_gateway-1,"7,53"
1776374558.693808,thesis_project-user_service-1,"0,22"
1776374560.721457,thesis_project-auth_service-1,"0,19"
1776374562.734455,thesis_project-data_service-1,"4,46"
1776374564.753908,thesis_project-api_gateway-1,"3,14"
1776374566.76457,thesis_project-user_service-1,"0,33"
1776374568.771431,thesis_project-auth_service-1,"0,21"
1776374570.7996302,thesis_project-data_service-1,"0,32"
1776374572.8174772,thesis_project-api_gateway-1,"0,23"
